Var1,Var2,Var3,Var4,Var5,Var6
P.FALCIPARUM/gametocits/DSCN0217.JPG,256,44,271,270,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1,4,111,118,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1,271,72,209,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,-6,559,153,232,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1,773,198,240,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1,1114,115,214,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1,1450,102,179,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1,1603,246,240,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1,1865,80,70,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,247,1730,162,215,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,278,1310,271,228,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,217,756,249,236,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,68,419,201,284,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,186,249,376,188,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,247,411,337,192,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,296,572,283,236,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,448,843,223,245,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,479,1144,249,271,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,667,1057,201,293,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,776,1249,210,227,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,427,1704,201,241,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,632,1822,253,123,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,597,1594,245,223,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,632,1428,336,219,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,885,1022,258,249,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,575,546,210,253,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,584,323,236,284,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,440,1,244,147,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,641,1,240,213,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,890,275,253,267,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,780,585,241,245,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,986,533,218,240,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1130,699,262,227,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1204,515,249,258,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1182,227,262,258,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1038,4,254,66,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1370,4,197,44,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1300,44,258,222,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1562,1,254,152,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1567,144,284,232,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1357,376,201,292,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1506,341,174,301,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1645,459,263,270,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1536,681,284,241,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1610,887,280,214,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1357,1254,275,266,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1628,1354,223,197,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,968,1734,236,210,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1187,1874,105,70,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1091,1581,257,276,uninfected_cell
P.FALCIPARUM/gametocits/DSCN0217.JPG,1300,1704,219,236,uninfected_cell
